Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
0.745,255,0,0,28,251,32,96,
0.745,255,0,0,16,249,32,95,
0.745,255,0,0,20,251,32,94,
0.745,0,0,0,24,14,33,95,
0.745,255,0,0,28,237,32,95,
0.745,255,0,0,16,251,32,96,
0.745,255,0,255,20,236,47,95,
0.842,0,0,255,16,14,47,94,
0.842,255,0,255,20,238,47,95,
0.842,0,0,0,24,14,32,96,
0.842,255,0,255,28,239,47,96,
0.842,255,0,0,16,253,32,95,
0.842,255,0,0,20,238,32,95,
0.842,255,0,0,24,220,32,95,
0.842,0,0,255,28,30,47,96,
0.842,0,0,0,16,15,32,96,
0.842,255,0,0,20,253,32,96,
0.842,0,0,0,24,30,32,95,
0.842,255,0,255,28,252,47,95,
0.842,0,0,255,16,12,47,95,
0.842,255,1,255,20,225,47,94,
0.842,255,0,0,24,253,33,95,
0.842,255,0,255,28,238,47,95,
0.842,255,0,0,16,223,32,95,
0.842,255,0,255,20,237,47,95,
0.842,255,0,255,24,206,47,94,
0.842,255,0,0,28,207,33,96,
0.842,255,0,255,16,254,47,96,
0.842,255,0,0,20,239,33,95,
0.842,255,0,0,24,237,33,95,
0.842,255,0,0,28,254,32,95,
0.842,255,0,255,16,252,47,95,
0.842,255,0,255,20,254,47,95,
0.842,0,0,0,24,29,32,94,
0.842,255,0,0,28,237,32,95,
0.842,255,0,0,16,254,33,95,
0.842,0,0,255,20,28,47,96,
0.842,255,0,0,24,252,32,96,
0.842,255,0,255,28,237,47,94,
0.842,255,0,255,16,252,47,95,
0.842,0,0,0,20,15,32,95,
0.842,255,0,0,24,238,32,95,
0.842,0,0,0,28,29,32,94,
0.842,255,0,255,16,255,47,96,
0.842,0,0,255,20,13,47,96,
0.842,255,0,0,24,253,32,95,
0.842,0,0,0,28,13,32,96,
0.842,0,0,0,16,30,32,95,
0.842,255,0,255,20,254,47,96,
0.842,0,0,0,24,31,32,95,
0.842,255,0,0,28,255,32,95,
0.842,0,0,0,16,45,32,94,
0.842,255,0,0,20,255,32,95,
0.842,0,0,255,24,13,46,95,
0.842,255,0,255,28,255,47,95,
0.842,0,0,0,16,13,32,95,
0.842,255,0,255,20,254,47,95,
0.942,255,1,0,16,224,32,95,
0.942,255,0,255,20,255,47,94,
0.942,0,1,255,24,0,47,96,
0.942,255,0,255,28,239,47,95,
0.942,255,1,0,16,241,32,94,
0.942,255,0,255,20,255,47,95,
0.942,255,0,0,24,222,32,95,
0.942,255,1,255,28,225,47,96,
0.942,255,0,0,16,235,32,95,
0.942,0,0,0,20,12,33,95,
0.942,0,0,0,24,13,32,95,
0.942,255,0,0,28,222,32,95,
0.942,255,0,0,16,239,32,95,
0.942,255,1,0,20,241,32,96,
0.942,0,0,255,24,14,47,96,
0.942,255,1,255,28,208,47,95,
0.942,0,0,0,16,15,32,95,
0.942,255,0,0,20,238,32,95,
0.942,0,0,0,24,14,32,96,
0.942,255,0,0,28,255,34,94,
0.942,0,1,255,16,1,47,96,
0.942,255,0,0,20,221,32,95,
0.942,255,1,255,24,208,47,96,
0.942,255,0,0,28,237,32,95,
0.942,0,0,255,16,31,47,95,
0.942,255,0,255,20,223,47,95,
0.942,0,0,0,24,15,32,96,
0.942,255,0,255,28,253,47,96,
0.942,255,1,0,16,208,32,96,
0.942,255,0,255,20,205,46,96,
0.942,255,0,255,24,238,46,94,
0.942,255,0,0,28,239,32,94,
0.942,255,1,255,16,208,46,95,
0.942,255,0,0,20,237,33,96,
0.942,255,0,0,24,239,32,96,
0.942,255,0,0,28,254,32,95,
0.942,0,1,0,16,1,33,95,
0.942,255,0,0,20,255,32,96,
0.942,255,0,0,24,255,32,95,
0.942,255,1,255,28,225,47,96,
0.942,255,1,255,16,208,47,95,
0.942,0,1,255,20,0,47,95,
0.942,255,0,255,24,253,47,95,
0.942,0,1,0,28,1,33,96,
0.942,255,0,255,16,255,47,95,
0.942,255,0,0,20,255,32,94,
0.942,255,0,255,24,238,47,96,
0.942,255,0,0,28,254,33,95,
0.942,0,0,0,16,31,32,95,
0.942,255,0,0,20,254,33,96,
1.041,255,1,0,16,176,34,95,
1.041,255,0,255,20,239,47,96,
1.041,0,0,0,24,15,32,95,
1.041,255,1,255,28,178,47,96,
1.041,0,1,0,16,1,33,96,
1.041,255,1,0,20,241,33,95,
1.041,255,1,0,24,226,33,95,
1.041,255,0,255,28,238,47,95,
1.041,255,1,255,16,209,47,95,
1.041,0,1,255,20,16,47,95,
1.041,255,1,0,24,193,32,94,
1.041,0,1,255,28,17,47,96,
1.041,0,1,0,16,0,32,94,
1.041,255,1,255,20,241,47,95,
1.041,255,1,255,24,227,46,95,
1.041,255,1,255,28,224,47,95,
1.041,255,1,255,16,224,47,95,
1.041,255,0,255,20,223,47,95,
1.041,255,1,0,24,240,32,96,
1.041,255,1,0,28,224,32,94,
1.041,255,0,0,16,255,32,95,
1.041,255,1,255,20,211,47,95,
1.041,0,1,0,24,1,32,96,
1.041,255,1,255,28,192,47,95,
1.041,255,0,255,16,255,47,95,
1.041,255,1,255,20,242,46,95,
1.041,255,0,255,24,238,47,95,
1.041,255,1,0,28,240,32,95,
1.041,255,1,255,16,226,47,95,
1.041,255,1,0,20,209,33,95,
1.041,255,1,255,24,194,46,95,
1.041,255,1,255,28,240,47,95,
1.041,0,1,0,16,1,32,95,
1.041,0,1,255,20,18,47,95,
1.041,255,1,255,24,242,47,96,
1.041,0,1,0,28,1,33,95,
1.041,255,1,255,16,240,47,95,
1.041,255,0,255,20,239,46,94,
1.041,0,1,0,24,16,32,95,
1.041,0,1,0,28,4,33,95,
1.041,255,0,255,16,239,46,95,
1.041,0,0,255,20,31,47,95,
1.041,255,1,0,24,225,32,94,
1.041,255,1,255,28,176,46,96,
1.041,0,1,0,16,0,32,95,
1.041,0,1,0,20,18,32,96,
1.041,255,1,0,24,241,32,94,
1.041,0,1,0,28,0,32,95,
1.041,0,0,0,16,14,32,94,
1.041,255,1,255,20,241,47,96,
1.141,255,1,255,16,225,47,95,
1.141,0,1,0,20,2,32,95,
1.141,255,1,255,24,244,47,95,
1.141,255,1,0,28,224,32,95,
1.141,255,1,0,16,241,32,95,
1.141,255,1,0,20,242,32,95,
1.141,255,1,0,24,240,33,95,
1.141,0,1,255,28,3,47,94,
1.141,255,1,255,16,194,47,95,
1.141,255,1,255,20,210,46,94,
1.141,255,1,0,24,243,32,96,
1.141,255,1,0,28,241,32,96,
1.141,255,1,0,16,242,33,96,
1.141,0,1,255,20,2,47,95,
1.141,255,1,255,24,211,47,94,
1.141,0,1,255,28,3,47,94,
1.141,255,1,0,16,227,32,96,
1.141,0,1,255,20,17,46,95,
1.141,0,1,255,24,3,47,95,
1.141,255,1,0,28,227,32,95,
1.141,0,1,0,16,17,32,96,
1.141,0,1,255,20,1,47,95,
1.141,255,1,255,24,242,47,95,
1.141,255,1,255,28,211,47,95,
1.141,255,1,0,16,241,32,95,
1.141,0,1,0,20,4,32,95,
1.141,255,1,255,24,243,47,95,
1.141,255,1,0,28,180,32,94,
1.141,255,1,0,16,243,32,95,
1.141,255,1,0,20,211,32,96,
1.141,255,1,255,24,242,47,95,
1.141,0,1,0,28,2,32,95,
1.141,255,1,255,16,229,47,95,
1.141,255,1,255,20,242,47,96,
1.141,255,1,255,24,242,47,95,
1.141,0,1,0,28,19,33,95,
1.141,255,1,255,16,196,47,95,
1.141,255,1,0,20,244,32,95,
1.141,255,1,0,24,246,32,95,
1.141,255,1,0,28,209,32,94,
1.141,0,1,0,16,2,32,95,
1.141,255,1,0,20,241,32,95,
1.141,255,1,255,24,226,47,96,
1.141,255,1,0,28,227,32,95,
1.141,0,1,0,16,1,32,96,
1.141,255,1,0,20,228,33,96,
1.141,0,1,0,24,3,33,96,
1.141,255,1,0,28,244,32,96,
1.141,0,1,0,16,3,33,95,
1.141,0,1,0,20,19,32,95,
1.24,255,1,0,16,228,32,96,
1.24,255,1,0,20,246,32,95,
1.24,255,1,255,24,245,47,96,
1.24,255,1,255,28,213,47,95,
1.24,255,1,255,16,244,46,96,
1.24,0,1,255,20,1,47,94,
1.24,255,1,0,24,212,32,95,
1.24,255,1,0,28,209,32,95,
1.24,255,1,0,16,229,32,95,
1.24,255,1,255,20,244,47,95,
1.24,255,1,255,24,178,47,95,
1.24,255,1,0,28,224,33,95,
1.24,255,1,255,16,245,47,96,
1.24,255,1,255,20,226,46,95,
1.24,0,1,255,24,19,47,95,
1.24,0,1,255,28,5,47,95,
1.24,255,1,255,16,228,47,94,
1.24,255,1,255,20,244,47,95,
1.24,255,1,255,24,229,46,95,
1.24,255,1,255,28,227,47,96,
1.24,255,1,0,16,243,32,95,
1.24,255,1,0,20,245,32,96,
1.24,255,1,0,24,244,33,96,
1.24,255,1,0,28,246,32,95,
1.24,255,1,255,16,243,47,95,
1.24,255,1,255,20,197,47,95,
1.24,255,1,0,24,228,33,96,
1.24,0,1,0,28,4,32,96,
1.24,255,1,255,16,228,47,94,
1.24,255,1,0,20,211,33,96,
1.24,255,1,0,24,227,32,95,
1.24,255,1,0,28,245,32,96,
1.24,255,1,255,16,213,47,95,
1.24,255,1,0,20,242,34,94,
1.24,255,0,0,24,255,32,95,
1.24,0,1,255,28,21,47,94,
1.24,0,1,0,16,3,33,95,
1.24,255,1,0,20,213,32,95,
1.24,255,1,255,24,244,47,96,
1.24,0,1,255,28,5,47,95,
1.24,255,1,255,16,225,47,96,
